case,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,nsfw_flag,refresh_indices,refresh_reasons,psnr_db,ssim
astronaut_42,dpm20,42,59.01806639507413,3522.92626953125,20,20,0,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},,1.0
astronaut_42,fixed3,42,26.405186012387276,3633.00439453125,20,7,13,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,False,"[0, 3, 6, 9, 12, 15, 18]",{'fixed_interval': 7},10.606678783788412,0.2883405387401581
astronaut_42,lambda_only,42,29.145035166293383,3633.94189453125,20,8,12,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,False,"[0, 1, 4, 7, 10, 13, 16, 19]","{'initial': 2, 'max_age': 5, 'final': 1}",10.31150060849351,0.23199334740638733
astronaut_42,adaptive_v1,42,29.0927218683064,3633.94189453125,20,8,12,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,False,"[0, 1, 4, 7, 10, 13, 16, 19]","{'initial': 2, 'max_age': 5, 'final': 1}",10.31150060849351,0.23199334740638733
astronaut_43,fixed3,43,26.445145048201084,3633.00439453125,20,7,13,508327f6df909d39e7d59187b9ee264cbc12377fefd41ddaa5a136e498b4e5a1,False,"[0, 3, 6, 9, 12, 15, 18]",{'fixed_interval': 7},9.83862289509667,0.24755655229091644
astronaut_43,lambda_only,43,29.872238360345364,3633.94189453125,20,8,12,508327f6df909d39e7d59187b9ee264cbc12377fefd41ddaa5a136e498b4e5a1,False,"[0, 1, 4, 7, 10, 13, 16, 19]","{'initial': 2, 'max_age': 5, 'final': 1}",11.530712465796142,0.38043469190597534
astronaut_43,adaptive_v1,43,30.145833890885115,3633.94189453125,20,8,12,508327f6df909d39e7d59187b9ee264cbc12377fefd41ddaa5a136e498b4e5a1,False,"[0, 1, 4, 7, 10, 13, 16, 19]","{'initial': 2, 'max_age': 5, 'final': 1}",11.530712465796142,0.38043469190597534
astronaut_43,dpm20,43,61.26689301431179,3522.92626953125,20,20,0,508327f6df909d39e7d59187b9ee264cbc12377fefd41ddaa5a136e498b4e5a1,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},,1.0
landscape_42,lambda_only,42,28.746888738125563,3633.94189453125,20,8,12,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,False,"[0, 1, 4, 7, 10, 13, 16, 19]","{'initial': 2, 'max_age': 5, 'final': 1}",18.113680751808975,0.6226013898849487
landscape_42,adaptive_v1,42,28.814784422516823,3633.94189453125,20,8,12,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,False,"[0, 1, 4, 7, 10, 13, 16, 19]","{'initial': 2, 'max_age': 5, 'final': 1}",18.113680751808975,0.6226013898849487
landscape_42,dpm20,42,58.68681311234832,3522.92626953125,20,20,0,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,False,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},,1.0
landscape_42,fixed3,42,26.101975616067648,3633.00439453125,20,7,13,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,False,"[0, 3, 6, 9, 12, 15, 18]",{'fixed_interval': 7},16.020259784975213,0.5109827518463135
