case,prompt_id,seed,step,age,model,baseline_guided_noise_error,residual_relative_l1,corrected_feature_relative_l1,guided_noise_error,recovery_fraction,milliseconds
animal_seed101,animal,101,4,2,cached_lowrank,0.09888575226068497,1.0001435279846191,0.5018549561500549,0.10667163878679276,-0.0787361813821515,1175.4410400390625
animal_seed101,animal,101,4,2,conv_delta,0.09888575226068497,1.0042937994003296,0.5039374828338623,0.10102790594100952,-0.021662915347777888,1214.67822265625
animal_seed101,animal,101,4,2,shallow_delta,0.09888575226068497,1.0020159482955933,0.5027945041656494,0.09787585586309433,0.010212759416830084,1197.9796142578125
animal_seed101,animal,101,4,2,combined,0.09888575226068497,1.0115028619766235,0.507554829120636,0.09676770120859146,0.021419173173804144,1203.963623046875
animal_seed101,animal,101,4,2,combined_spatial_shuffle,0.09888575226068497,1.0620267391204834,0.5329068899154663,0.10675065219402313,-0.07953521870981503,1148.7841796875
animal_seed101,animal,101,4,2,oracle,0.09888575226068497,0.0,0.0,0.014877677895128727,0.8495467996652557,1219.8348388671875
animal_seed101,animal,101,9,2,cached_lowrank,0.1005062386393547,0.9867519736289978,0.3195444643497467,0.10190451890230179,-0.013912372822591782,1458.3408203125
animal_seed101,animal,101,9,2,conv_delta,0.1005062386393547,0.9849253296852112,0.31895291805267334,0.10070086270570755,-0.0019364376678268835,1462.521484375
animal_seed101,animal,101,9,2,shallow_delta,0.1005062386393547,0.9860253930091858,0.31930917501449585,0.09843369573354721,0.020621037398925804,1474.9970703125
animal_seed101,animal,101,9,2,combined,0.1005062386393547,0.9846192002296448,0.31885379552841187,0.09902899712324142,0.014698008164588158,1475.9622802734375
animal_seed101,animal,101,9,2,combined_spatial_shuffle,0.1005062386393547,1.0209338665008545,0.33061373233795166,0.10138627886772156,-0.008756075645460073,1453.468994140625
animal_seed101,animal,101,9,2,oracle,0.1005062386393547,0.0,0.0,0.029204344376921654,0.7094275462669015,1435.910888671875
animal_seed101,animal,101,12,2,cached_lowrank,0.10774538666009903,0.979526698589325,0.2666260600090027,0.10716606676578522,0.005376748947417809,1539.064453125
animal_seed101,animal,101,12,2,conv_delta,0.10774538666009903,0.9786749482154846,0.2663942277431488,0.10628531873226166,0.01355109460457367,1547.034912109375
