case,prompt_id,mode,seed,second_refresh,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,refresh_reasons,nsfw_flag,ssim,psnr_db,mean_absolute_rgb_error
portrait_101,portrait,early1,101,1,30.44436237961054,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5862938761711121,18.685791727602744,0.08855642181595945
portrait_101,portrait,early3,101,3,30.4050517603755,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6638041138648987,21.02160661318813,0.06216330933415033
portrait_101,portrait,early4,101,4,30.54328515380621,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6707451343536377,20.998936663484457,0.06196709427179075
portrait_202,portrait,early3,202,3,31.593286719173193,3641.24658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5178564190864563,17.014009856117156,0.10051422617793862
portrait_202,portrait,early4,202,4,32.21786258369684,3641.49658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.42154619097709656,14.021627446584663,0.1445124358133553
portrait_202,portrait,early1,202,1,32.45866806805134,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.42484816908836365,14.8457830873506,0.1225314470677594
people_101,people,early4,101,4,31.759474646300077,3641.49658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5423611998558044,15.230075567807974,0.11721110125772315
people_101,people,early1,101,1,32.006429102271795,3640.99658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.5460644960403442,15.092362156010212,0.11138473211550246
people_101,people,early3,101,3,31.93357550725341,3641.24658203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.6179571151733398,16.309304789932323,0.09984282948612389
people_202,people,early1,202,1,31.557901822030544,3640.99658203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,0.47950637340545654,13.71337065113841,0.13642376669092118
