case,prompt_id,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,refresh_reasons,nsfw_flag,psnr_db,ssim,mean_absolute_rgb_error
sport_101,sport,dpm20,101,61.21524715051055,3531.55908203125,20,20,0,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
sport_101,sport,fixed3,101,27.652670610696077,3640.37158203125,20,7,13,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,16.80534259010048,0.5570129752159119,0.09594934002246733
sport_101,sport,uniform9,101,33.15097687765956,3640.37158203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,17.512531812540363,0.6165661215782166,0.0864254820580576
sport_101,sport,stage_aware9,101,33.16946895048022,3641.12158203125,20,9,11,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 4, 7, 10, 13, 14, 16, 18, 19]",{'scheduled_refresh': 9},False,15.31078314267573,0.4514795243740082,0.1232194389393127
sport_101,sport,drop_middle8,101,30.4456102065742,3639.37158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",{'scheduled_refresh': 8},False,17.412817127237354,0.5962437987327576,0.09049524045458027
sport_202,sport,fixed3,202,27.20660164952278,3640.37158203125,20,7,13,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 3, 6, 9, 12, 15, 18]",{'scheduled_refresh': 7},False,16.956244312961736,0.5693999528884888,0.09714914957682291
sport_202,sport,uniform9,202,32.31111257523298,3640.37158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 17, 19]",{'scheduled_refresh': 9},False,17.916979240088725,0.6461923122406006,0.07740574257046569
sport_202,sport,stage_aware9,202,32.71014046669006,3641.12158203125,20,9,11,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 4, 7, 10, 13, 14, 16, 18, 19]",{'scheduled_refresh': 9},False,15.180472305212456,0.4914940595626831,0.1264381957209967
sport_202,sport,drop_middle8,202,29.32821111381054,3639.37158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",{'scheduled_refresh': 8},False,17.824194867599715,0.6381292343139648,0.0777013292499617
sport_202,sport,dpm20,202,59.54696010053158,3531.55908203125,20,20,0,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",{'uncached': 20},False,,1.0,0.0
