age,step,n,mean,median
1,1,80,0.04472488858737052,0.03989654406905174
1,3,20,0.06457967404276133,0.06020478531718254
1,4,20,0.07930690702050924,0.07631383463740349
1,5,40,0.08529178593307733,0.08237199112772942
1,6,20,0.08319241516292095,0.0807894915342331
1,7,40,0.08520328709855676,0.08654266223311424
1,9,40,0.07609461983665824,0.0660543367266655
1,10,20,0.07592158820480108,0.05526099540293217
1,11,40,0.07869519740343094,0.05812707170844078
1,13,60,0.06699338806793094,0.05254782363772392
1,15,20,0.06663735564798116,0.05777750909328461
1,16,40,0.06841613817960024,0.06420566886663437
1,17,40,0.07481038570404053,0.06960689648985863
1,19,40,0.12641316168010236,0.12288529425859451
2,2,60,0.06809529215097428,0.06643145345151424
2,5,20,0.10262753125280141,0.10085933282971382
2,6,20,0.10975957252085208,0.11766237765550613
2,7,20,0.11512648779898882,0.12156558781862259
2,8,20,0.11735401805490256,0.11930287629365921
2,10,20,0.1185075344517827,0.09741544350981712
2,11,20,0.12144793551415205,0.0994611456990242
2,12,20,0.1248983459547162,0.09999854117631912
2,14,40,0.1202963899821043,0.09408581629395485
2,17,40,0.13823265954852104,0.12815776467323303
2,18,20,0.16111345514655112,0.1514560878276825
3,3,40,0.09085724260658026,0.08516214787960052
3,7,20,0.13563201241195202,0.14913181215524673
3,8,20,0.13819020316004754,0.14135321229696274
3,11,20,0.1511283565312624,0.12731517106294632
3,13,20,0.16424316503107547,0.1347717046737671
3,15,20,0.16876981891691684,0.14162907004356384
3,18,20,0.22153349816799164,0.20762085169553757
3,19,20,0.2893530957400799,0.2805416136980057
4,4,20,0.1109322514384985,0.10701839998364449
4,9,20,0.1632740892469883,0.1586451232433319
4,14,20,0.2048986129462719,0.1779853254556656
4,19,20,0.35642099678516387,0.34587766230106354
