index,timestep,refresh,age,lambda_value,delta_lambda,lambda_distance,conv_previous,conv_cache,noise_error,guided_noise_error,boundary_error,boundary_uncond_error,boundary_cond_error,mid_error,mid_uncond_error,mid_cond_error,case,prompt_id,seed
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.040193624794483185,0.040193624794483185,0.006072300020605326,0.039779625833034515,0.10528232902288437,0.09734437614679337,0.11310914158821106,0.385252445936203,0.42042791843414307,0.355200856924057,portrait_101,portrait,101
2,899,True,0,-2.116593599319458,0.27255797386169434,0.0,0.07331649959087372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
3,849,False,1,-1.8629876375198364,0.2536059617996216,0.2536059617996216,0.07094042748212814,0.07094042748212814,0.015737129375338554,0.08039102703332901,0.19533006846904755,0.1927063763141632,0.19786110520362854,0.46559596061706543,0.5313094258308411,0.41055071353912354,portrait_101,portrait,101
4,799,True,0,-1.6268385648727417,0.23614907264709473,0.0,0.10663224011659622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
5,749,False,1,-1.406521201133728,0.22031736373901367,0.22031736373901367,0.056603070348501205,0.056603070348501205,0.012853948399424553,0.03254372254014015,0.13448776304721832,0.1407794952392578,0.1282414048910141,0.2194444090127945,0.25807273387908936,0.18092074990272522,portrait_101,portrait,101
6,699,True,0,-1.200291395187378,0.2062298059463501,0.0,0.06956260651350021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
7,649,False,1,-1.006303310394287,0.19398808479309082,0.19398808479309082,0.073826864361763,0.073826864361763,0.01480130571871996,0.03224737569689751,0.12831541895866394,0.13685019314289093,0.11984202265739441,0.20561230182647705,0.2333296835422516,0.1781286746263504,portrait_101,portrait,101
8,599,True,0,-0.8226233124732971,0.18367999792099,0.0,0.07517863065004349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
9,549,False,1,-0.6472349762916565,0.17538833618164062,0.17538833618164062,0.07581879943609238,0.07581879943609238,0.01254163309931755,0.020515205338597298,0.09329299628734589,0.09661882370710373,0.089980848133564,0.12307757884263992,0.13746637105941772,0.10877664387226105,portrait_101,portrait,101
10,500,True,0,-0.4813636541366577,0.16587132215499878,0.0,0.07428149878978729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
11,450,False,1,-0.31602802872657776,0.16533562541007996,0.16533562541007996,0.07436737418174744,0.07436737418174744,0.01634236052632332,0.024366462603211403,0.09404528886079788,0.09525562822818756,0.09283892065286636,0.10756116360425949,0.11562735587358475,0.09952880442142487,portrait_101,portrait,101
12,400,True,0,-0.15219885110855103,0.16382917761802673,0.0,0.07157222181558609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
13,350,False,1,0.012974858283996582,0.1651737093925476,0.1651737093925476,0.0677701011300087,0.0677701011300087,0.02682306617498398,0.03848322853446007,0.11436117440462112,0.11699306964874268,0.1117386445403099,0.12206908315420151,0.12658117711544037,0.11758551001548767,portrait_101,portrait,101
14,300,True,0,0.1830180287361145,0.17004317045211792,0.0,0.06358334422111511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
15,250,False,1,0.36269381642341614,0.17967578768730164,0.17967578768730164,0.058542508631944656,0.058542508631944656,0.03608172386884689,0.040610648691654205,0.117234006524086,0.1194227933883667,0.11505302041769028,0.11861180514097214,0.12232638895511627,0.114930160343647,portrait_101,portrait,101
16,200,True,0,0.5591998100280762,0.19650599360466003,0.0,0.05335718393325806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
17,150,False,1,0.7850973606109619,0.22589755058288574,0.22589755058288574,0.048390693962574005,0.048390693962574005,0.05350065603852272,0.05651313066482544,0.13336090743541718,0.13459087908267975,0.13213472068309784,0.11352751404047012,0.11580044776201248,0.11125753074884415,portrait_101,portrait,101
18,100,True,0,1.0673118829727173,0.28221452236175537,0.0,0.044222600758075714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_101,portrait,101
19,50,False,1,1.4890689849853516,0.4217571020126343,0.4217571020126343,0.04164619371294975,0.04164619371294975,0.10422902554273605,0.11293349415063858,0.18923525512218475,0.1896984875202179,0.18877308070659637,0.13516958057880402,0.13771642744541168,0.1326151043176651,portrait_101,portrait,101
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.036605581641197205,0.036605581641197205,0.006609895266592503,0.06081409752368927,0.1040787547826767,0.09069455415010452,0.11744111031293869,0.3223594129085541,0.31929370760917664,0.3251233994960785,portrait_202,portrait,202
2,899,True,0,-2.116593599319458,0.27255797386169434,0.0,0.08904306590557098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
3,849,False,1,-1.8629876375198364,0.2536059617996216,0.2536059617996216,0.0678820088505745,0.0678820088505745,0.013182759284973145,0.07526101917028427,0.1660681813955307,0.1788392961025238,0.15346777439117432,0.5004958510398865,0.6546620726585388,0.36714696884155273,portrait_202,portrait,202
4,799,True,0,-1.6268385648727417,0.23614907264709473,0.0,0.08728474378585815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
5,749,False,1,-1.406521201133728,0.22031736373901367,0.22031736373901367,0.07082570344209671,0.07082570344209671,0.013395972549915314,0.05747195705771446,0.16454271972179413,0.1894286572933197,0.13987435400485992,0.297775536775589,0.38712015748023987,0.21103152632713318,portrait_202,portrait,202
6,699,True,0,-1.200291395187378,0.2062298059463501,0.0,0.07768972963094711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
7,649,False,1,-1.006303310394287,0.19398808479309082,0.19398808479309082,0.0784960612654686,0.0784960612654686,0.01466026809066534,0.040592122822999954,0.15396781265735626,0.1614302545785904,0.14652399718761444,0.19454436004161835,0.22445297241210938,0.1646270900964737,portrait_202,portrait,202
8,599,True,0,-0.8226233124732971,0.18367999792099,0.0,0.08180323243141174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
9,549,False,1,-0.6472349762916565,0.17538833618164062,0.17538833618164062,0.08228851109743118,0.08228851109743118,0.0177545677870512,0.03433207795023918,0.13984379172325134,0.14739252626895905,0.1323164701461792,0.15155458450317383,0.1627267599105835,0.1404813528060913,portrait_202,portrait,202
10,500,True,0,-0.4813636541366577,0.16587132215499878,0.0,0.07935092598199844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
11,450,False,1,-0.31602802872657776,0.16533562541007996,0.16533562541007996,0.0786486566066742,0.0786486566066742,0.02343408763408661,0.03837921470403671,0.13181139528751373,0.13597403466701508,0.12766140699386597,0.13883909583091736,0.14713481068611145,0.1306229829788208,portrait_202,portrait,202
12,400,True,0,-0.15219885110855103,0.16382917761802673,0.0,0.07505227625370026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
13,350,False,1,0.012974858283996582,0.1651737093925476,0.1651737093925476,0.07039236277341843,0.07039236277341843,0.03217240050435066,0.04718872532248497,0.1307995766401291,0.1324029266834259,0.1292029470205307,0.13904134929180145,0.14614154398441315,0.13197624683380127,portrait_202,portrait,202
14,300,True,0,0.1830180287361145,0.17004317045211792,0.0,0.06525973230600357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
15,250,False,1,0.36269381642341614,0.17967578768730164,0.17967578768730164,0.05983171984553337,0.05983171984553337,0.044602908194065094,0.058269307017326355,0.13893258571624756,0.1413743793964386,0.13650059700012207,0.1392638087272644,0.14321231842041016,0.13532774150371552,portrait_202,portrait,202
16,200,True,0,0.5591998100280762,0.19650599360466003,0.0,0.05412856489419937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
17,150,False,1,0.7850973606109619,0.22589755058288574,0.22589755058288574,0.048913516104221344,0.048913516104221344,0.05538143217563629,0.0683511272072792,0.1415114849805832,0.14319616556167603,0.1398322582244873,0.145871102809906,0.15123902261257172,0.14054584503173828,portrait_202,portrait,202
18,100,True,0,1.0673118829727173,0.28221452236175537,0.0,0.04451344162225723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,portrait_202,portrait,202
19,50,False,1,1.4890689849853516,0.4217571020126343,0.4217571020126343,0.04176810011267662,0.04176810011267662,0.1071813553571701,0.12007659673690796,0.1911635547876358,0.19218683242797852,0.19014258682727814,0.18413236737251282,0.18808309733867645,0.18022489547729492,portrait_202,portrait,202
0,999,True,0,-2.6820242404937744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
1,949,False,1,-2.3891515731811523,0.29287266731262207,0.29287266731262207,0.018569234758615494,0.018569234758615494,0.004158976022154093,0.014067727141082287,0.0840935930609703,0.08286929130554199,0.085307277739048,0.22413215041160583,0.2771943211555481,0.18270452320575714,people_101,people,101
2,899,True,0,-2.116593599319458,0.27255797386169434,0.0,0.027622779831290245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
3,849,False,1,-1.8629876375198364,0.2536059617996216,0.2536059617996216,0.037720199674367905,0.037720199674367905,0.012492614798247814,0.03896664083003998,0.138423353433609,0.14070521295070648,0.13616438210010529,0.41740313172340393,0.5448377728462219,0.31691592931747437,people_101,people,101
4,799,True,0,-1.6268385648727417,0.23614907264709473,0.0,0.056030869483947754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
5,749,False,1,-1.406521201133728,0.22031736373901367,0.22031736373901367,0.06694193929433823,0.06694193929433823,0.026002148166298866,0.11103086173534393,0.23353515565395355,0.2312282770872116,0.23579896986484528,0.496954083442688,0.6136881709098816,0.40148815512657166,people_101,people,101
6,699,True,0,-1.200291395187378,0.2062298059463501,0.0,0.08089916408061981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
7,649,False,1,-1.006303310394287,0.19398808479309082,0.19398808479309082,0.07099568843841553,0.07099568843841553,0.03526629880070686,0.12920165061950684,0.24896937608718872,0.26418137550354004,0.23393630981445312,0.37053045630455017,0.4527425467967987,0.2956121861934662,people_101,people,101
8,599,True,0,-0.8226233124732971,0.18367999792099,0.0,0.08090827614068985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
9,549,False,1,-0.6472349762916565,0.17538833618164062,0.17538833618164062,0.07652737945318222,0.07652737945318222,0.04530337080359459,0.15117913484573364,0.2460489273071289,0.265353262424469,0.22689354419708252,0.3213390111923218,0.3557860553264618,0.28935307264328003,people_101,people,101
10,500,True,0,-0.4813636541366577,0.16587132215499878,0.0,0.07657866925001144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,people_101,people,101
11,450,False,1,-0.31602802872657776,0.16533562541007996,0.16533562541007996,0.0742626041173935,0.0742626041173935,0.042900487780570984,0.1373983919620514,0.1896120011806488,0.20526514947414398,0.17402836680412292,0.27262139320373535,0.30339959263801575,0.24325968325138092,people_101,people,101
