stage,age,target,n,mean,median
early,1,boundary_error,180,0.18095463431543773,0.16742417961359024
early,1,guided_noise_error,180,0.06406245804909202,0.05634022504091263
early,2,boundary_error,100,0.29776651471853255,0.28806227445602417
early,2,guided_noise_error,100,0.08333459604531526,0.08269806951284409
early,3,boundary_error,40,0.3647517189383507,0.37183667719364166
early,3,guided_noise_error,40,0.09085724260658026,0.08516214787960052
early,4,boundary_error,20,0.4843576103448868,0.4890485554933548
early,4,guided_noise_error,20,0.1109322514384985,0.10701839998364449
late,1,boundary_error,140,0.1478781882673502,0.14056572318077087
late,1,guided_noise_error,140,0.08655953239649535,0.07790843397378922
late,2,boundary_error,100,0.2597416903078556,0.25353559851646423
late,2,guided_noise_error,100,0.13563431084156036,0.12839370965957642
late,3,boundary_error,60,0.3877173771460851,0.3866098076105118
late,3,guided_noise_error,60,0.22655213760832946,0.22760681062936783
late,4,boundary_error,40,0.48852475062012674,0.5012737512588501
late,4,guided_noise_error,40,0.2806598048657179,0.30517740547657013
middle,1,boundary_error,200,0.169770042411983,0.14536084979772568
middle,1,guided_noise_error,200,0.07568879610858857,0.0562286451458931
middle,2,boundary_error,100,0.31460844188928605,0.2934141010046005
middle,2,guided_noise_error,100,0.11946686435490847,0.10262228175997734
middle,3,boundary_error,80,0.42648841217160227,0.40796177089214325
middle,3,guided_noise_error,80,0.14729843428358436,0.13909150660037994
middle,4,boundary_error,20,0.5323122650384903,0.5223925709724426
middle,4,guided_noise_error,20,0.1632740892469883,0.1586451232433319
