case,full_calls,initial_latent_sha256,mode,nsfw_flag,peak_allocated_mib,psnr_db,reuse_calls,seconds,seed,ssim,unet_calls,vs_dpm20_psnr_db,vs_dpm20_ssim
astronaut_42,51,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,pndm50,False,3526.84033203125,,0,158.99636882171035,42,1.0,51,,
astronaut_42,20,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,dpm20,False,3526.80908203125,9.446366484734051,0,62.23152005672455,42,0.2808789610862732,20,,
astronaut_42,17,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,pndm50_cache,False,3635.27783203125,13.833935150996396,34,68.4895233027637,42,0.498279869556427,51,,
astronaut_42,7,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,dpm20_cache,False,3635.49658203125,10.083894153483872,13,27.622829999774694,42,0.3121577501296997,20,10.606678783788412,0.2883405387401581
astronaut_43,20,508327f6df909d39e7d59187b9ee264cbc12377fefd41ddaa5a136e498b4e5a1,dpm20,False,3526.80908203125,14.515794781524068,0,63.32658778131008,43,0.5954871773719788,20,,
astronaut_43,17,508327f6df909d39e7d59187b9ee264cbc12377fefd41ddaa5a136e498b4e5a1,pndm50_cache,False,3635.27783203125,13.697439858499937,34,68.54201603680849,43,0.5048354864120483,51,,
astronaut_43,7,508327f6df909d39e7d59187b9ee264cbc12377fefd41ddaa5a136e498b4e5a1,dpm20_cache,False,3635.49658203125,9.355558590943021,13,27.550968158990145,43,0.22020100057125092,20,9.83862289509667,0.24755655229091644
astronaut_43,51,508327f6df909d39e7d59187b9ee264cbc12377fefd41ddaa5a136e498b4e5a1,pndm50,False,3526.84033203125,,0,160.2463810145855,43,1.0,51,,
landscape_42,17,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,pndm50_cache,False,3635.27783203125,24.085324975958812,34,64.9436072409153,42,0.878617525100708,51,,
landscape_42,7,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,dpm20_cache,False,3635.49658203125,16.408103058121853,13,26.619506519287825,42,0.5370354056358337,20,16.020259784975213,0.5109827518463135
landscape_42,51,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,pndm50,False,3526.84033203125,,0,151.54492446780205,42,1.0,51,,
landscape_42,20,4e5879488713b73bc92834e56fa59897b396ef5985ccfd6488348d9a7ae5dfbc,dpm20,False,3526.80908203125,23.520654449840855,0,58.64096623659134,42,0.8671170473098755,20,,
