case,prompt_id,mode,seed,seconds,peak_allocated_mib,unet_calls,full_calls,reuse_calls,initial_latent_sha256,refresh_indices,dropped_refresh,refresh_reasons,nsfw_flag,ssim,psnr_db,mean_absolute_rgb_error
portrait_101,portrait,drop_early8,101,28.245427519083023,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.6363569498062134,19.961655193052536,0.07381354437934028
portrait_101,portrait,drop_middle8,101,27.863326456397772,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.6528617143630981,20.445013414904505,0.06905329585854524
portrait_101,portrait,drop_late8,101,28.09344531223178,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.641952633857727,20.418931161610203,0.06902655308542688
portrait_202,portrait,drop_middle8,202,29.482436280697584,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.4792676866054535,15.857572914105189,0.10627445894129137
portrait_202,portrait,drop_late8,202,29.533967040479183,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.4696768522262573,15.803385206558913,0.10745399824154922
portrait_202,portrait,drop_early8,202,29.602145567536354,3638.74658203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.40125271677970886,13.83508253126884,0.15511417762905944
people_101,people,drop_late8,101,29.009956661611795,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.5893391370773315,15.737599943113697,0.10172769883099725
people_101,people,drop_early8,101,29.188335947692394,3638.74658203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.40135619044303894,13.139890312548392,0.15172763899260877
people_101,people,drop_middle8,101,29.21878468990326,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.5795717239379883,15.400881167912473,0.10539527843201082
people_202,people,drop_early8,202,29.012158680707216,3638.74658203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 5, 7, 10, 12, 14, 17, 19]",2,{'scheduled_refresh': 8},False,0.39048877358436584,12.71362559778019,0.16244444504282834
people_202,people,drop_middle8,202,29.215056095272303,3638.12158203125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.5224348306655884,15.078867573428543,0.11537802203807955
people_202,people,drop_late8,202,29.097804687917233,3638.89501953125,20,8,12,b77e77196e9252634bd52a792e7a9073a3877d2b5ae8e92c5cc4e3ab249d685f,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.511961042881012,15.115427701036943,0.11363925809174581
animal_101,animal,drop_middle8,101,30.65212382376194,3638.12158203125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 12, 14, 17, 19]",10,{'scheduled_refresh': 8},False,0.634768009185791,13.941138670443294,0.13396603952046315
animal_101,animal,drop_late8,101,30.610716082155704,3638.89501953125,20,8,12,e56cb4d6c6c66cae09ead2cb329bfbac91a5b2051c1d53d5adc47aaeea31b372,"[0, 2, 5, 7, 10, 12, 14, 19]",17,{'scheduled_refresh': 8},False,0.6222522854804993,13.822759271464903,0.13714690364264195
