case,prompt_id,seed,step,model,baseline_guided_noise_error,residual_relative_l1,corrected_feature_relative_l1,guided_noise_error,recovery_fraction,milliseconds
portrait_seed101,portrait,101,4,channel_mean,0.09339171648025513,0.9960013031959534,0.6744531989097595,0.09862542897462845,-0.05604043582901523,1174.456298828125
portrait_seed101,portrait,101,4,channel_affine,0.09339171648025513,0.9938571453094482,0.673001229763031,0.09258178621530533,0.008672399389093935,1156.0574951171875
portrait_seed101,portrait,101,4,oracle,0.09339171648025513,0.0,0.0,0.012994224205613136,0.8608632039827604,1274.7392578125
portrait_seed101,portrait,101,9,channel_mean,0.041792478412389755,0.9987393617630005,0.22369417548179626,0.04317568242549896,-0.0330969606411077,1415.6201171875
portrait_seed101,portrait,101,9,channel_affine,0.041792478412389755,1.0635673999786377,0.2382141351699829,0.04173404723405838,0.001398126661807467,1403.5303955078125
portrait_seed101,portrait,101,9,oracle,0.041792478412389755,0.0,0.0,0.013905830681324005,0.667264751707056,1416.9766845703125
portrait_seed101,portrait,101,12,channel_mean,0.05689717084169388,0.9825787544250488,0.20211513340473175,0.05242284759879112,0.07863876492825546,1481.236572265625
portrait_seed101,portrait,101,12,channel_affine,0.05689717084169388,1.0113221406936646,0.20802760124206543,0.05231358855962753,0.0805590544180015,1473.462158203125
portrait_seed101,portrait,101,12,oracle,0.05689717084169388,0.0,0.0,0.02095710299909115,0.6316670461981228,1480.40478515625
portrait_seed101,portrait,101,15,channel_mean,0.07916498929262161,0.9761703014373779,0.22252285480499268,0.07251056283712387,0.08405769412663777,1517.6121826171875
portrait_seed101,portrait,101,15,channel_affine,0.07916498929262161,0.9763011932373047,0.22255267202854156,0.07137063145637512,0.09845713245075807,1464.8079833984375
portrait_seed101,portrait,101,15,oracle,0.07916498929262161,0.0,0.0,0.033178143203258514,0.5808987849335716,1497.0810546875
portrait_seed101,portrait,101,18,channel_mean,0.1298809051513672,0.9351409077644348,0.2368788868188858,0.11235827207565308,0.13491308098979368,1567.4339599609375
portrait_seed101,portrait,101,18,channel_affine,0.1298809051513672,0.9167559742927551,0.2322218418121338,0.1085403561592102,0.16430859461047068,1538.359619140625
portrait_seed101,portrait,101,18,oracle,0.1298809051513672,0.0,0.0,0.06975013762712479,0.4629684975952713,1548.600341796875
portrait_seed202,portrait,202,4,channel_mean,0.07886802405118942,1.010360836982727,0.6163443922996521,0.08292774856090546,-0.051474910885063674,1186.474609375
portrait_seed202,portrait,202,4,channel_affine,0.07886802405118942,1.0118683576583862,0.6172640323638916,0.07881351560354233,0.0006911349473104071,1145.9306640625
portrait_seed202,portrait,202,4,oracle,0.07886802405118942,0.0,0.0,0.012841984629631042,0.8371712137570997,1217.7799072265625
portrait_seed202,portrait,202,9,channel_mean,0.07129688560962677,0.9869706034660339,0.37252968549728394,0.07291536033153534,-0.022700496775837246,1411.753173828125
portrait_seed202,portrait,202,9,channel_affine,0.07129688560962677,0.9981279373168945,0.376740962266922,0.07181963324546814,-0.007331984158516824,1399.1893310546875
portrait_seed202,portrait,202,9,oracle,0.07129688560962677,0.0,0.0,0.015042247250676155,0.7890195746692602,1432.44580078125
portrait_seed202,portrait,202,12,channel_mean,0.07528825849294662,0.9938002824783325,0.28476667404174805,0.0705329179763794,0.0631617812890802,1458.2291259765625
portrait_seed202,portrait,202,12,channel_affine,0.07528825849294662,1.0019229650497437,0.28709420561790466,0.07036648690700531,0.06537236595002939,1451.865966796875
portrait_seed202,portrait,202,12,oracle,0.07528825849294662,0.0,0.0,0.022357771173119545,0.7030377429275492,1474.305908203125
portrait_seed202,portrait,202,15,channel_mean,0.10268738865852356,0.9952119588851929,0.2951897382736206,0.0971759557723999,0.05367195483421402,1520.7889404296875
portrait_seed202,portrait,202,15,channel_affine,0.10268738865852356,0.9906073212623596,0.2938239574432373,0.09605544805526733,0.06458378862189268,1497.8353271484375
portrait_seed202,portrait,202,15,oracle,0.10268738865852356,0.0,0.0,0.037584684789180756,0.6339892826161468,1541.6861572265625
portrait_seed202,portrait,202,18,channel_mean,0.14284402132034302,0.9427305459976196,0.272491991519928,0.13244910538196564,0.07277109564890831,1526.0555419921875
portrait_seed202,portrait,202,18,channel_affine,0.14284402132034302,0.9219681620597839,0.2664906978607178,0.12910014390945435,0.0962159793868205,1551.5509033203125
portrait_seed202,portrait,202,18,oracle,0.14284402132034302,0.0,0.0,0.07298527657985687,0.4890561333597605,1573.6121826171875
people_seed101,people,101,4,channel_mean,0.08792447298765182,0.9987581968307495,0.56062251329422,0.08925826102495193,-0.01516970181313942,1121.8770751953125
people_seed101,people,101,4,channel_affine,0.08792447298765182,1.0182613134384155,0.5715700387954712,0.08756200969219208,0.00412243921565105,1128.5179443359375
people_seed101,people,101,4,oracle,0.08792447298765182,0.0,0.0,0.009669496677815914,0.8900249685980614,1156.14013671875
people_seed101,people,101,9,channel_mean,0.20442071557044983,0.987155020236969,0.5127698183059692,0.2104124128818512,-0.029310617051119946,1364.7872314453125
people_seed101,people,101,9,channel_affine,0.20442071557044983,0.9828521609306335,0.5105347633361816,0.2070818990468979,-0.013018169264410637,1348.3299560546875
people_seed101,people,101,9,oracle,0.20442071557044983,0.0,0.0,0.04080755636096001,0.8003746526026789,1371.417236328125
people_seed101,people,101,12,channel_mean,0.188351571559906,0.9865087866783142,0.34713003039360046,0.18737347424030304,0.005192934210755329,1447.0682373046875
people_seed101,people,101,12,channel_affine,0.188351571559906,0.984679639339447,0.3464864194393158,0.1840991973876953,0.02257679156586282,1443.8651123046875
people_seed101,people,101,12,oracle,0.188351571559906,0.0,0.0,0.048096247017383575,0.7446464257289918,1467.8695068359375
people_seed101,people,101,15,channel_mean,0.13168294727802277,0.9572712779045105,0.23469464480876923,0.1250087320804596,0.0506839749225226,1536.594970703125
people_seed101,people,101,15,channel_affine,0.13168294727802277,0.9504733681678772,0.23302800953388214,0.12282771617174149,0.0672466047375534,1535.408935546875
people_seed101,people,101,15,oracle,0.13168294727802277,0.0,0.0,0.05132513493299484,0.610237042882767,1503.017822265625
people_seed101,people,101,18,channel_mean,0.18060250580310822,0.9049107432365417,0.23752743005752563,0.16630138456821442,0.07918561911031731,1560.0423583984375
people_seed101,people,101,18,channel_affine,0.18060250580310822,0.8759593963623047,0.22992807626724243,0.16263708472251892,0.09947492699893705,1512.7802734375
people_seed101,people,101,18,oracle,0.18060250580310822,0.0,0.0,0.08620865643024445,0.5226607956136079,1519.169677734375
people_seed202,people,202,4,channel_mean,0.11157480627298355,0.9772539734840393,0.639197051525116,0.11668191850185394,-0.045772987643600466,1142.9200439453125
people_seed202,people,202,4,channel_affine,0.11157480627298355,0.9881219863891602,0.646305501461029,0.1136542409658432,-0.01863713469304189,1127.1727294921875
people_seed202,people,202,4,oracle,0.11157480627298355,0.0,0.0,0.011914587579667568,0.8932143556627216,1195.17724609375
people_seed202,people,202,9,channel_mean,0.11952675879001617,0.9824053049087524,0.38153040409088135,0.12015000730752945,-0.005214301164212058,1339.62060546875
people_seed202,people,202,9,channel_affine,0.11952675879001617,0.9842855930328369,0.38226065039634705,0.11846516281366348,0.008881659530462936,1334.9735107421875
people_seed202,people,202,9,oracle,0.11952675879001617,0.0,0.0,0.028475001454353333,0.7617688144260816,1368.4434814453125
people_seed202,people,202,12,channel_mean,0.10054997354745865,0.9801948666572571,0.26569145917892456,0.09765725582838058,0.028768955545400796,1423.2520751953125
people_seed202,people,202,12,channel_affine,0.10054997354745865,0.9863471984863281,0.26735907793045044,0.09652905911207199,0.03998921425363502,1419.980712890625
people_seed202,people,202,12,oracle,0.10054997354745865,0.0,0.0,0.03172216936945915,0.6845133991558279,1437.6866455078125
people_seed202,people,202,15,channel_mean,0.10300373286008835,0.9534314274787903,0.20167256891727448,0.09551377594470978,0.07271539299990518,1489.18017578125
people_seed202,people,202,15,channel_affine,0.10300373286008835,0.9536425471305847,0.20171722769737244,0.09477958083152771,0.07984324257191376,1461.8468017578125
people_seed202,people,202,15,oracle,0.10300373286008835,0.0,0.0,0.0415426529943943,0.5966878884785431,1447.27685546875
people_seed202,people,202,18,channel_mean,0.16006815433502197,0.8912610411643982,0.2205033153295517,0.14047867059707642,0.12238214290235927,1491.2113037109375
people_seed202,people,202,18,channel_affine,0.16006815433502197,0.8646819591522217,0.2139274775981903,0.1375308483839035,0.14079818715188022,1475.522216796875
people_seed202,people,202,18,oracle,0.16006815433502197,0.0,0.0,0.08142289519309998,0.4913235831864332,1504.1229248046875
animal_seed101,animal,101,4,channel_mean,0.09888575226068497,1.0186015367507935,0.5111168622970581,0.10019122809171677,-0.013201859733951085,1196.09716796875
animal_seed101,animal,101,4,channel_affine,0.09888575226068497,1.031420350074768,0.5175490975379944,0.09980212152004242,-0.009266949367404295,1150.7591552734375
animal_seed101,animal,101,4,oracle,0.09888575226068497,0.0,0.0,0.014877677895128727,0.8495467996652557,1275.497314453125
animal_seed101,animal,101,9,channel_mean,0.1005062386393547,0.9812257289886475,0.317754864692688,0.10181788355112076,-0.01305038303614775,1478.0892333984375
animal_seed101,animal,101,9,channel_affine,0.1005062386393547,1.000019907951355,0.32384106516838074,0.10011214017868042,0.00392113430976583,1417.754638671875
